amount,merchant_type,device_type,location,hour,is_fraud,night_transaction,high_amount
3748.528487879388,retail,desktop,UAE,8,0,0,0
9507.389492567112,retail,mobile,UAE,8,0,0,1
7321.279448404994,upi,unknown,USA,7,1,0,1
5988.591549549381,retail,desktop,International,2,1,1,1
1564.406311222153,luxury,desktop,India,20,0,0,0
1564.1652307603454,retail,pos,UAE,17,0,0,0
585.5457036211536,luxury,desktop,UAE,13,0,0,0
8662.430577020477,retail,unknown,India,2,1,1,1
6013.144542373372,luxury,pos,India,16,0,0,1
7082.185415071474,retail,pos,UAE,3,1,1,1
210.74202048654544,retail,pos,USA,20,0,0,0
9699.248972359133,bank,mobile,India,17,0,0,1
8325.264194800215,luxury,pos,International,14,1,0,1
2127.32941122937,luxury,desktop,International,18,1,0,0
1822.3405472349707,luxury,mobile,USA,21,1,0,0
1838.128075985071,ecommerce,mobile,UK,5,0,1,0
3045.9012183805794,retail,mobile,USA,14,0,0,0
5249.940534164217,luxury,mobile,UAE,6,1,0,1
4322.290461327947,ecommerce,mobile,UK,11,0,0,0
2915.835256279429,bank,mobile,UAE,15,0,0,0
6120.469682750183,luxury,mobile,International,8,1,0,1
1399.2411372171582,luxury,pos,India,19,0,0,0
2924.9857621095052,ecommerce,unknown,UAE,4,1,1,0
3666.7866237204485,retail,desktop,International,10,1,0,0
4563.419492249274,bank,desktop,USA,1,1,1,0
7852.833734123171,luxury,pos,UAE,21,0,0,1
2000.7394526728056,retail,pos,International,15,1,0,0
5144.773211944048,bank,mobile,India,3,1,1,1
5926.1836157761145,upi,unknown,UAE,4,1,1,1
469.2718751363773,upi,mobile,International,6,0,0,0
6077.410794754876,bank,pos,UAE,5,0,1,1
1709.3886162544788,ecommerce,mobile,India,23,1,1,0
655.1906718878688,bank,desktop,UAE,21,0,0,0
9489.110944847065,bank,desktop,UAE,9,0,0,1
9656.49217058022,ecommerce,mobile,International,13,1,0,1
8084.931494424029,ecommerce,unknown,UK,7,1,0,1
3049.61462288784,retail,mobile,UAE,13,0,0,0
981.2327794938068,retail,mobile,UK,13,0,0,0
6843.909099989009,ecommerce,unknown,USA,19,0,0,1
4404.324174927315,upi,unknown,UAE,22,0,0,0
1224.7721572735643,upi,unknown,UK,2,1,1,0
4954.293216562145,bank,desktop,USA,0,1,1,0
348.7132685466079,luxury,mobile,International,8,1,0,0
9093.657418777426,bank,pos,UAE,8,0,0,1
2591.505916092169,bank,unknown,International,21,1,0,0
6626.91023211805,luxury,unknown,USA,1,1,1,1
3120.5522055136626,ecommerce,mobile,International,15,1,0,0
5203.079871672219,upi,pos,International,7,1,0,1
5469.36924203608,bank,mobile,India,5,0,1,1
1852.6202829776428,luxury,mobile,USA,22,1,0,0
9695.998354506763,retail,unknown,International,12,1,0,1
7752.4525694943395,bank,unknown,UK,0,1,1,1
9395.29192093407,upi,desktop,USA,18,1,0,1
8948.79936752435,ecommerce,pos,India,14,1,0,1
5981.010288216796,bank,pos,UAE,0,1,1,1
9219.132979056052,bank,unknown,International,9,1,0,1
889.4825580089354,luxury,unknown,UK,0,1,1,0
1963.8487098793562,retail,unknown,India,11,0,0,0
457.04675266082796,retail,pos,USA,10,0,0,0
3256.676655978827,ecommerce,desktop,International,16,1,0,0
3889.8295104463728,upi,pos,India,3,1,1,0
2717.1335725800895,ecommerce,unknown,India,22,0,0,0
8288.231403973534,bank,unknown,UK,6,0,0,1
3570.7495003024246,bank,desktop,UAE,11,0,0,0
